horizon_days,score_source,shape,exposure,weighting,sector_mode,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,alpha_vs_spy_pct,alpha_vs_qqq_pct,alpha_vs_blend_pct,nw_tstat_vs_blend,turnover_pct,estimated_cost_pct,avg_gross_exposure,feature_health_gate_pass,active_cluster_count,effective_cluster_count,max_cluster_weight,feature_health_gate_reasons,subperiod_stability_pass,paper_ready,robustness_score,drawdown_penalty,turnover_penalty,instability_penalty
5,factor_plus_model,top_bottom_quintile,long_short,score,sector_neutral,-69.76,-7.07,-1.048,-70.97,-832.51,-1694.58,-1177.34,-6.357,204829.55,204.8295,1.247,True,10,10,0.111111,,False,False,-13.3783,1.8388,9.9915,0.5
5,factor_only,top_bottom_quintile,long_short,equal,sector_neutral,-69.88,-7.09,-1.092,-70.75,-832.63,-1694.69,-1177.45,-6.433,204829.55,204.8295,1.247,True,10,10,0.111111,,False,False,-13.4135,1.83,9.9915,0.5
5,factor_plus_model,top_bottom_decile,beta_neutral,equal,unconstrained,-76.76,-8.56,-0.784,-78.03,-839.51,-1701.57,-1184.33,-5.464,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-13.424,2.1212,10.0188,0.5
5,factor_only,top_bottom_quintile,long_short,score,sector_neutral,-70.82,-7.27,-1.083,-71.38,-833.57,-1695.63,-1178.39,-6.361,204829.55,204.8295,1.247,True,10,10,0.111111,,False,False,-13.4297,1.8552,9.9915,0.5
5,factor_plus_model,top_bottom_quintile,beta_neutral,score,unconstrained,-75.69,-8.31,-0.86,-76.84,-838.44,-1700.5,-1183.26,-5.65,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-13.4524,2.0736,10.0188,0.5
5,factor_plus_model,top_bottom_decile,beta_neutral,score,unconstrained,-79.25,-9.19,-0.752,-81.13,-842.0,-1704.06,-1186.82,-5.317,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-13.516,2.2452,10.0188,0.5
5,factor_walkforward,top_bottom_decile,long_short,score,unconstrained,-79.63,-9.3,-0.608,-87.54,-842.38,-1704.44,-1187.21,-5.081,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-13.6284,2.5016,10.0188,0.5
5,factor_only,top_bottom_quintile,beta_neutral,score,unconstrained,-78.43,-8.98,-0.96,-80.49,-841.18,-1703.24,-1186.0,-5.791,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-13.6984,2.2196,10.0188,0.5
5,factor_walkforward,top_bottom_decile,beta_neutral,score,unconstrained,-80.52,-9.54,-0.735,-86.22,-843.27,-1705.34,-1188.1,-5.348,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-13.7026,2.4488,10.0188,0.5
5,factor_plus_model,top_bottom_quintile,beta_neutral,equal,unconstrained,-76.84,-8.58,-1.041,-79.07,-839.59,-1701.65,-1184.42,-5.803,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-13.7226,2.1628,10.0188,0.5
5,factor_walkforward,top_bottom_quintile,long_short,equal,unconstrained,-79.22,-9.18,-0.918,-83.74,-841.97,-1704.03,-1186.8,-5.922,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-13.7864,2.3496,10.0188,0.5
5,factor_walkforward,top_bottom_quintile,long_short,score,unconstrained,-81.02,-9.69,-0.824,-86.25,-843.77,-1705.83,-1188.59,-5.756,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-13.7928,2.45,10.0188,0.5
5,factor_only,top_bottom_decile,beta_neutral,equal,unconstrained,-81.74,-9.9,-0.963,-83.81,-844.49,-1706.55,-1189.31,-5.787,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-13.8342,2.3524,10.0188,0.5
5,factor_walkforward,top_bottom_decile,long_short,equal,unconstrained,-83.62,-10.5,-0.81,-89.22,-846.36,-1708.43,-1191.19,-5.718,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-13.8976,2.5688,10.0188,0.5
